Drug,lncRNA
2 3 7 8-tetrachlorodibenzo-p-dioxin,RP11-654A16.3
2 3 7 8-tetrachlorodibenzo-p-dioxin,LINC00963
2 3 7 8-tetrachlorodibenzo-p-dioxin,LINC00588
2 3 7 8-tetrachlorodibenzo-p-dioxin,LINC00599
2 3 7 8-tetrachlorodibenzo-p-dioxin,RP11-217B7.2
2 3 7 8-tetrachlorodibenzo-p-dioxin,SMG7-AS1
2 3 7 8-tetrachlorodibenzo-p-dioxin,ACVR2B-AS1
2 3 7 8-tetrachlorodibenzo-p-dioxin,ATXN8OS
2 3 7 8-tetrachlorodibenzo-p-dioxin,GS1-600G8.3
2 3 7 8-tetrachlorodibenzo-p-dioxin,AC007405.4
2 3 7 8-tetrachlorodibenzo-p-dioxin,LINC00574
2 3 7 8-tetrachlorodibenzo-p-dioxin,LINC00472
2 3 7 8-tetrachlorodibenzo-p-dioxin,RP11-490O6.2
2 3 7 8-tetrachlorodibenzo-p-dioxin,MCF2L-AS1
2 3 7 8-tetrachlorodibenzo-p-dioxin,RP11-473M20.14
2 3 7 8-tetrachlorodibenzo-p-dioxin,LINC00939
2 3 7 8-tetrachlorodibenzo-p-dioxin,RP11-65G9.1
3 3' 4 4'-tetrachlorobiphenyl,ARAP2
3 3' 4 4'-tetrachlorobiphenyl,SRD5A2
3 3' 4 4'-tetrachlorobiphenyl,RP1-28O17.1
3 3' 4 4'-tetrachlorobiphenyl,CASP8AP2
3 3' 4 4'-tetrachlorobiphenyl,RCL1
3 3' 4 4'-tetrachlorobiphenyl,FTX
3 3' 4 4'-tetrachlorobiphenyl,RP11-73B2.2
3 3' 4 4'-tetrachlorobiphenyl,IL12A-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-445H22.3
3 3' 4 4'-tetrachlorobiphenyl,AC004237.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-314A20.2
3 3' 4 4'-tetrachlorobiphenyl,RGPD4-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-84C10.2
3 3' 4 4'-tetrachlorobiphenyl,PEX5L-AS2
3 3' 4 4'-tetrachlorobiphenyl,LINC00266-1
3 3' 4 4'-tetrachlorobiphenyl,RP4-792G4.2
3 3' 4 4'-tetrachlorobiphenyl,CTA-211A9.5
3 3' 4 4'-tetrachlorobiphenyl,RP3-525N10.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00309
3 3' 4 4'-tetrachlorobiphenyl,LINC00483
3 3' 4 4'-tetrachlorobiphenyl,RP11-25K19.1
3 3' 4 4'-tetrachlorobiphenyl,TAS2R1
3 3' 4 4'-tetrachlorobiphenyl,AC013275.2
3 3' 4 4'-tetrachlorobiphenyl,SHANK2-AS3
3 3' 4 4'-tetrachlorobiphenyl,RP11-263K19.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-359K18.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-544L8__B.4
3 3' 4 4'-tetrachlorobiphenyl,TTTY14
3 3' 4 4'-tetrachlorobiphenyl,DDX11-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-463J7.2
3 3' 4 4'-tetrachlorobiphenyl,CTD-2201E18.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-998D10.4
3 3' 4 4'-tetrachlorobiphenyl,AP001604.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-143E21.6
3 3' 4 4'-tetrachlorobiphenyl,GS1-24F4.2
3 3' 4 4'-tetrachlorobiphenyl,AP000345.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00314
3 3' 4 4'-tetrachlorobiphenyl,AC005009.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00305
3 3' 4 4'-tetrachlorobiphenyl,AC025335.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00652
3 3' 4 4'-tetrachlorobiphenyl,TTTY11
3 3' 4 4'-tetrachlorobiphenyl,RP4-539M6.14
3 3' 4 4'-tetrachlorobiphenyl,FAM225A
3 3' 4 4'-tetrachlorobiphenyl,RP11-834C11.4
3 3' 4 4'-tetrachlorobiphenyl,ATG9B
3 3' 4 4'-tetrachlorobiphenyl,LINC00471
3 3' 4 4'-tetrachlorobiphenyl,DLEU2
3 3' 4 4'-tetrachlorobiphenyl,LINC00301
3 3' 4 4'-tetrachlorobiphenyl,RP11-10L12.4
3 3' 4 4'-tetrachlorobiphenyl,HOXB7
3 3' 4 4'-tetrachlorobiphenyl,LINC00482
3 3' 4 4'-tetrachlorobiphenyl,RP11-231E19.1
3 3' 4 4'-tetrachlorobiphenyl,RP1-46F2.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00210
3 3' 4 4'-tetrachlorobiphenyl,MATN1-AS1
3 3' 4 4'-tetrachlorobiphenyl,MIR22HG
3 3' 4 4'-tetrachlorobiphenyl,NEBL-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-161I2.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-53B5.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00319
3 3' 4 4'-tetrachlorobiphenyl,RP11-431M7.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-756H20.1
3 3' 4 4'-tetrachlorobiphenyl,AC069277.2
3 3' 4 4'-tetrachlorobiphenyl,AC005772.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00615
3 3' 4 4'-tetrachlorobiphenyl,LINC00867
3 3' 4 4'-tetrachlorobiphenyl,LINC00708
3 3' 4 4'-tetrachlorobiphenyl,RP11-425I13.3
3 3' 4 4'-tetrachlorobiphenyl,GATA3-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-421F16.3
3 3' 4 4'-tetrachlorobiphenyl,FLVCR1-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP3-337H4.8
3 3' 4 4'-tetrachlorobiphenyl,Z99756.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-351J23.1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2313J17.5
3 3' 4 4'-tetrachlorobiphenyl,AC079586.1
3 3' 4 4'-tetrachlorobiphenyl,DGKK
3 3' 4 4'-tetrachlorobiphenyl,RP11-638F5.1
3 3' 4 4'-tetrachlorobiphenyl,RP5-963E22.5
3 3' 4 4'-tetrachlorobiphenyl,ATP11A-AS1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2126E3.1
3 3' 4 4'-tetrachlorobiphenyl,CTC-308K20.1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2207A17.1
3 3' 4 4'-tetrachlorobiphenyl,ATP6V0E2-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-497E19.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00487
3 3' 4 4'-tetrachlorobiphenyl,RP11-503N18.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-834C11.8
3 3' 4 4'-tetrachlorobiphenyl,RP11-24P14.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-414H17.5
3 3' 4 4'-tetrachlorobiphenyl,RP5-944M2.3
3 3' 4 4'-tetrachlorobiphenyl,ERVH48-1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2116F7.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00887
3 3' 4 4'-tetrachlorobiphenyl,RP11-699L21.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00488
3 3' 4 4'-tetrachlorobiphenyl,CTD-2251F13.1
3 3' 4 4'-tetrachlorobiphenyl,AC104654.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-742B18.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-67L3.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-669N7.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00472
3 3' 4 4'-tetrachlorobiphenyl,RP11-26J3.1
3 3' 4 4'-tetrachlorobiphenyl,TLR8-AS1
3 3' 4 4'-tetrachlorobiphenyl,LINC00598
3 3' 4 4'-tetrachlorobiphenyl,CHRM3-AS2
3 3' 4 4'-tetrachlorobiphenyl,LINC00189
3 3' 4 4'-tetrachlorobiphenyl,LINC01139
3 3' 4 4'-tetrachlorobiphenyl,KIRREL3-AS3
3 3' 4 4'-tetrachlorobiphenyl,AC079354.3
