Drug,lncRNA
Metformin,FOXN3-AS2
Metformin,CROCCP2
Metformin,TCL6
Metformin,ACVR2B-AS1
Metformin,ATXN8OS
Metformin,LINC00652
Metformin,LINC01963
Metformin,AL355922.1
Metformin,AC007389.3
Metformin,LINC00574
Metformin,SNHG20
Metformin,MEG3
phenyl biguanide,AL139352.1
phenyl biguanide,ATXN8OS
phenyl biguanide,NEAT1
Valproic Acid,AL139352.1
Valproic Acid,ATXN8OS
Metformin,AL139352.1
Estradiol,MIR22HG
alpha-estradiol,MIR22HG
Dexamethasone,AL139352.1
Mesalazine,MIR22HG
Chlorpropamide,PART1
Chlorpropamide,AC007389.3
Chlorpropamide,LINC01136
Tamoxifen,AC007389.3
Tamoxifen,MIR22HG
Tamoxifen,TP53TG1
Chlorpropamide,MIR22HG
Verapamil,AL021937.4
Verapamil,NOP14-AS1
Amitriptyline,LINC00563
Amitriptyline,FOXN3-AS2
Amitriptyline,MEG3
Amitriptyline,SMAD5-AS1
Amitriptyline,AC098487.1
Amitriptyline,CROCCP2
Amitriptyline,MAPKAPK5-AS1
Amitriptyline,LINC00574
Amitriptyline,LINC02172
Amitriptyline,ACVR2B-AS1
Amitriptyline,SNHG14
Sulindac,AC007389.3
Tacrolimus,SNHG20
Masoprocol,SMIM27
Rofecoxib,CTXND1
Rofecoxib,PVT1
Celecoxib,NDST2
Celecoxib,PVT1
LM-1685,PVT1
LM-1685,ACVR2B-AS1
LM-1685,LINC00574
Tanespimycin,SMIM27
Tanespimycin,LINC00599
Tanespimycin,PVT1
Tanespimycin,LINC00339
Tanespimycin,WT1-AS
Tanespimycin,ATXN8OS
Tanespimycin,MMP24OS
tomelukast,AC007389.3
tomelukast,LINC00574
tomelukast,PVT1
tomelukast,AC090360.1
tomelukast,ATXN8OS
tomelukast,LINC00599
tomelukast,WT1-AS
Arotinoid acid,LINC00563
Arotinoid acid,LINC00599
Arotinoid acid,PART1
Arotinoid acid,MMP24OS
Tretinoin,AC090360.1
Tretinoin,LINC00563
Tretinoin,PART1
Tretinoin,AFDN-DT
Tretinoin,SMIM27
Rofecoxib,FOXN3-AS2
Rofecoxib,AL441883.1
Rofecoxib,KIF25-AS1
Rofecoxib,WT1-AS
Rofecoxib,VASH1-AS1
Rofecoxib,ATXN8OS
Rofecoxib,AL359182.1
Celecoxib,ATXN8OS
Celecoxib,VASH1-AS1
Celecoxib,AL359182.1
Celecoxib,WT1-AS
Celecoxib,MMP24OS
LM-1685,VASH1-AS1
LM-1685,AL359182.1
LM-1685,AL021937.4
LM-1685,ATXN8OS
LM-1685,MMP24OS
LM-1685,LINC01963
LM-1685,ZNF213-AS1
LM-1685,PART1
SC-58125,WT1-AS
SC-58125,MMP24OS
SC-58125,AL359182.1
SC-58125,ZNF213-AS1
SC-58125,LINC01136
SC-58125,MCF2L-AS1
SC-58125,AP003469.4
Dexamethasone,CTXND1
Dexamethasone,AL359182.1
Rofecoxib,LINC00574
Rofecoxib,MAPKAPK5-AS1
Rofecoxib,MYCNOS
Rofecoxib,ZNF710-AS1
Rofecoxib,AL139352.1
LY-294002,AL139352.1
LY-294002,SNHG3
Ciclosporin,LINC02172
