lncRNA,Drug,DrugBank_ID
7SK,Quercetin,DB04216
A1BG-AS1,Panobinostat,DB06603
A2M-AS1,Panobinostat,DB06603
A2MP1,Dexamethasone,DB01234
AAA1,Panobinostat,DB06603
AACSP1,Panobinostat,DB06603
AATBC,Oxaliplatin,DB00526
AB015752.3,Dexamethasone,DB01234
AB074162,Panobinostat,DB06603
AB074166,Panobinostat,DB06603
AB209315,Panobinostat,DB06603
AB231723,Panobinostat,DB06603
AB231739,Panobinostat,DB06603
AB231739,Pravastatin,DB00175
AB488780,Panobinostat,DB06603
ABC12-49244600F4.3,Panobinostat,DB06603
ABCA17P,Panobinostat,DB06603
ABCC13,Panobinostat,DB06603
ABCC5-AS1,Panobinostat,DB06603
ABCC6P1,Panobinostat,DB06603
ABHD16A,Panobinostat,DB06603
ABL2-215,Tetraarsenic Oxide,
AC000032.2,Panobinostat,DB06603
AC000035.3,Panobinostat,DB06603
AC000067.1,Panobinostat,DB06603
AC002055.4,Panobinostat,DB06603
AC002066.1,Panobinostat,DB06603
AC002306.1,Panobinostat,DB06603
AC002398.5,Panobinostat,DB06603
AC002398.5,Panobinostat,DB06603
AC002451.3,Dexamethasone,DB01234
AC002454.1,Panobinostat,DB06603
AC002456.2,Panobinostat,DB06603
AC002456.2,Dexamethasone,DB01234
AC002519.6,Panobinostat,DB06603
AC003075.4,Panobinostat,DB06603
AC003092.1,Panobinostat,DB06603
AC003958.2,Pravastatin,DB00175
AC003986.6,Panobinostat,DB06603
AC003986.7,Panobinostat,DB06603
AC003991.3,Dexamethasone,DB01234
AC003991.3-003,5alpha-Hydroxytriptolide,
AC003991.3-006,5alpha-Hydroxytriptolide,
AC003991.3-007,5alpha-Hydroxytriptolide,
AC004019.13,Panobinostat,DB06603
AC004067.5,Dexamethasone,DB01234
AC004069.2,Panobinostat,DB06603
AC004158.2,Panobinostat,DB06603
AC004166.7,Panobinostat,DB06603
AC004231.2,Panobinostat,DB06603
AC004231.2,Dexamethasone,DB01234
AC004463.6,Panobinostat,DB06603
AC004485.3,Panobinostat,DB06603
AC004538.3,Panobinostat,DB06603
AC004540.4,Panobinostat,DB06603
AC004691.5,Panobinostat,DB06603
AC004702.2,Panobinostat,DB06603
AC004741.3,Panobinostat,DB06603
AC004854.4,Panobinostat,DB06603
AC004878.8,Panobinostat,DB06603
AC004947.2,Panobinostat,DB06603
AC004951.6,Oxaliplatin,DB00526
AC004980.7,Panobinostat,DB06603
AC005009.1,Panobinostat,DB06603
